# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
68,16171.900,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,374.915,2115.759,15.868
69,16171.902,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,374.915,2115.759,15.868
70,16617.027,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,367.593,2095.936,4.342
71,16617.031,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,367.593,2095.936,4.342
72,17376.136,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,444.297,2148.507,-31.306
73,17376.139,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,444.297,2148.507,-31.306
74,17612.123,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,455.635,2168.377,3.061
75,17612.128,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,455.635,2168.377,3.061
76,19688.821,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,734.765,1853.075,-8.045
77,19688.824,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,734.765,1853.075,-8.045
78,19858.982,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,738.880,1842.560,-4.491
79,19858.985,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,738.880,1842.560,-4.491
80,19932.002,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,431.897,2208.689,-77.507
81,20098.577,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.081,1847.239,-75.022
82,20098.581,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.081,1847.239,-75.022
83,20678.230,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,426.891,2213.954,-77.499
84,20730.795,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,490.782,2177.261,11.027
85,20730.799,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,490.782,2177.261,11.027
86,20912.436,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.721,1846.414,-74.213
87,20912.439,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.721,1846.414,-74.213
88,21060.386,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,504.595,2146.744,-75.092
89,21060.389,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,504.595,2146.744,-75.092
90,21217.103,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.354,1846.781,-73.839
91,21217.106,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.354,1846.781,-73.839
92,21407.786,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,547.009,2043.030,35.339
93,21408.630,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,492.773,2145.331,-69.671
94,21408.632,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,492.773,2145.331,-69.671
95,21549.927,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,563.050,2035.229,-11.867
96,21549.930,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,563.050,2035.229,-11.867
97,21550.478,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,556.743,2032.493,30.384
98,21712.786,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,737.331,1842.033,-8.969
99,21712.788,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,737.331,1842.033,-8.969
100,22433.098,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,554.289,1983.738,-8.222
101,22433.101,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,554.289,1983.738,-8.222
102,22590.334,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.081,1846.366,-73.982
103,22590.337,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.081,1846.366,-73.982
104,22859.598,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,537.281,2040.115,23.540
105,22859.601,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,537.281,2040.115,23.540
106,23273.101,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,524.756,1992.304,-29.680
107,23801.751,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.052,1846.089,-73.345
108,23801.755,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,731.052,1846.089,-73.345
109,23948.274,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.845,1854.920,-75.854
110,23948.277,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.845,1854.920,-75.854
111,24148.748,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.680,1845.074,-72.493
112,24148.749,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,730.680,1845.074,-72.493
113,24332.221,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,525.885,1984.791,-74.199
114,24332.226,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,525.885,1984.791,-74.199
115,24492.895,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,553.518,1986.132,29.998
116,24492.898,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,553.518,1986.132,29.998
117,24667.758,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,535.600,1977.751,-74.852
