cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
hard_flat_impact_of_human_body_against_cold_stone_variation4-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation4.wav,short,19,96,77,surf_stone,0.68,satellite @90ms -22dB; satellite @426ms -32dB; satellite @592ms -28dB
hard_flat_impact_of_human_body_against_cold_stone_variation4-s02.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation4.wav,short,216,432,216,surf_stone,0.68,satellite @90ms -22dB; satellite @426ms -32dB; satellite @592ms -28dB
hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s01.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",short,15,106,91,imp_transient,0.99,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s02.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",short,897,964,67,imp_transient,0.99,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s01.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,343,410,67,imp_transient,0.96,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s02.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,801,868,67,imp_transient,0.96,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s03.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,926,986,60,imp_transient,0.96,
heavy_body_dragged_slowly_across_rough_stone_low_variation1-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",loop,11960,13968,2008,scrape_loop,1.0,scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation1-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",long,40,14978,14938,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation2-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",loop,380,2388,2008,scrape_loop,0.98,scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation2-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",long,4,2938,2934,scrape_loop,0.98,"scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",loop,800,2808,2008,scrape_loop,0.99,scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",long,40,2942,2902,scrape_loop,0.99,"scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation4-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",loop,4260,6268,2008,scrape_loop,1.0,scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation4-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",long,22,14976,14954,scrape_loop,1.0,"scrape_loop; full take, not seam-matched"
heavy_body_violently_sliding_and_scraping_along_gr_variation1-loop.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,loop,6760,8768,2008,scrape_loop,0.99,scrape_loop; window swept for seam
heavy_body_violently_sliding_and_scraping_along_gr_variation1-long.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,long,12,9928,9916,scrape_loop,0.99,"scrape_loop; full take, not seam-matched"
heavy_body_violently_sliding_and_scraping_along_gr_variation2-loop.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,loop,3480,5488,2008,scrape_loop,0.99,scrape_loop; window swept for seam
heavy_body_violently_sliding_and_scraping_along_gr_variation2-long.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,long,20,9918,9898,scrape_loop,0.99,"scrape_loop; full take, not seam-matched"
heavy_forearm_dropped_onto_packed_earth_single_qu_variation3-s01.wav,"Firefly_audio_heavy_forearm_dropped_onto_packed_earth,_single_qu_variation3.wav",single,57,512,455,limb_tap,1.0,satellite @506ms -31dB
heavy_limp_body_settling_onto_the_ground_soft_fin_variation4-s01.wav,"Firefly_audio_heavy_limp_body_settling_onto_the_ground,_soft_fin_variation4.wav",single,129,546,417,settle_rest,1.0,satellite @682ms -30dB
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation1-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation1.wav,single,174,844,670,imp_body,1.0,
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation3-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation3.wav,single,124,908,784,imp_body,0.95,
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4_1-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4(1).wav,short,236,538,302,imp_body,1.0,satellite @174ms -30dB
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4_1-s02.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4(1).wav,short,589,816,227,imp_body,1.0,satellite @174ms -30dB
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4.wav,single,17,498,481,imp_body,1.0,
heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation3-s01.wav,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation3.wav",short,22,112,90,surf_wood,0.82,satellite @176ms -22dB
heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation3-s02.wav,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation3.wav",short,99,182,83,surf_wood,0.82,satellite @176ms -22dB
