import_name,best_slot,verdict,inferred_slot,alts,kind,source,in_ms,len_ms,centroid,tilt,corr,fails,note
surf_stone__A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation3-long.wav,surf_stone,RETRY,foley_cloth,surf_stone,long,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation3.wav",14,2986,5660,-16.7,0.92,"envelope std 6.0 dB, too lumpy for a bed; transient 15.3 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
surf_stone__fish_slap_variation1-s02.wav,surf_stone,RETRY,imp_transient,"surf_stone, scrape_grain",short,Firefly_audio_fish_slap_variation1.wav,382,228,5651,-26.4,0.98,"-20 dB in 170 ms, slot wants 5-90; 16 transients in lomid, slot wants 0-6",satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
surf_stone__fish_slap_variation3_1-s01.wav,surf_stone,RETRY,imp_transient,surf_stone,single,Firefly_audio_fish_slap_variation3(1).wav,328,672,7122,-50.1,0.99,"16 transients in lomid, slot wants 0-6",
surf_stone__sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation2-s02.wav,surf_stone,RETRY,imp_body,"surf_stone, scrape_grain",short,Firefly_audio_sandbag_full_of_wet_sand_slammed_onto_packed_earth_variation2.wav,133,307,5768,-2.7,0.84,"centroid 5768 Hz, slot wants 800-4200; tilt -2.7 dB, must lean low by 4+ (not a hiss); 20 transients in lomid, slot wants 0-5",satellite @434ms -34dB
surf_wood__A_heavy_object_glides_slowly_over_rough_stone_low_variation1-long.wav,surf_wood,RETRY,scrape_loop,"surf_wood, surf_soft, scrape_grain, crunch_gran, gore_wet, settle_rest",long,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation1.wav",20,9910,1056,37.7,1.0,"51 grains/s, want 8-40; tilt +37.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
surf_wood__A_heavy_object_glides_slowly_over_rough_stone_low_variation2-long.wav,surf_wood,RETRY,scrape_loop,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",long,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2.wav",30,2956,1879,27.7,1.0,"52 grains/s, want 8-40; tilt +27.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
surf_wood__A_heavy_object_glides_slowly_over_rough_stone_low_variation2_1-long.wav,surf_wood,RETRY,scrape_loop,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",long,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2(1).wav",0,2980,855,40.3,0.99,"60 grains/s, want 8-40; tilt +40.3 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
surf_wood__A_heavy_object_glides_slowly_over_rough_stone_low_variation3-long.wav,surf_wood,RETRY,scrape_loop,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",long,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation3.wav",30,2960,841,38.7,1.0,"49 grains/s, want 8-40; tilt +38.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
surf_wood__A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation4-s01.wav,surf_wood,RETRY,limb_tap,"surf_wood, surf_soft, gore_wet",short,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation4.wav",20,204,3236,13.2,1.0,"6 transients in lomid, slot wants 0-4",
surf_wood__hard_flat_impact_of_human_body_against_cold_stone_variation3-s01.wav,surf_wood,RETRY,surf_stone,"surf_wood, surf_soft, gore_wet, head_impact, settle_rest",single,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation3.wav,34,784,2748,12.9,0.99,"tilt +12.9 dB, too bass-led (max -2) — a body take, not a transient",
surf_wood__heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation4-s02.wav,surf_wood,KEEP,surf_wood,"surf_soft, scrape_grain, gore_wet, head_impact, settle_rest",short,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation4.wav",106,422,674,36.4,1.0,,satellite @522ms -31dB
surf_wood__single_hard_knuckle_crack_against_a_wooden_board_variation1-s02.wav,surf_wood,RETRY,imp_transient,"surf_wood, limb_tap",short,"Firefly_audio_single_hard_knuckle_crack_against_a_wooden_board,__variation1.wav",878,106,885,4.3,0.99,"centroid 885 Hz, slot wants 1500-9000; tilt +4.3 dB, too bass-led (max -6) — a body take, not a transient",
surf_wood__single_hollow_knock_on_a_thick_wooden_plank_floor_variation1-s01.wav,surf_wood,KEEP,surf_wood,"imp_sub, surf_soft, gore_wet, head_impact, settle_rest",single,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation1.wav",9,335,512,45.5,1.0,,
surf_wood__single_hollow_knock_on_a_thick_wooden_plank_floor_variation3-s01.wav,surf_wood,KEEP,surf_wood,"surf_soft, limb_tap, gore_wet, head_impact, settle_rest",short,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation3.wav",20,340,687,40.4,1.0,,
surf_wood__single_hollow_knock_on_a_thick_wooden_plank_floor_variation3-s02.wav,surf_wood,KEEP,surf_wood,"surf_soft, limb_tap, gore_wet, head_impact, settle_rest",short,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation3.wav",321,359,703,43.1,1.0,,
surf_wood__single_hollow_knock_on_a_thick_wooden_plank_floor_variation4-s01.wav,surf_wood,KEEP,surf_wood,"surf_soft, gore_wet",short,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation4.wav",15,205,510,44.6,0.81,,
surf_wood__single_hollow_knock_on_a_thick_wooden_plank_floor_variation4-s02.wav,surf_wood,KEEP,surf_wood,"surf_soft, limb_tap, gore_wet, settle_rest",short,"Firefly_audio_single_hollow_knock_on_a_thick_wooden_plank_floor,_variation4.wav",650,286,560,43.9,0.81,,
