import_name,best_slot,verdict,inferred_slot,alts,kind,source,in_ms,len_ms,centroid,tilt,corr,fails,note
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation1-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",11960,2008,2443,22.6,1.0,"60 grains/s, want 8-40; tilt +22.6 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation2-long.wav,unsorted,RETRY,scrape_loop,,long,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",4,2934,3920,16.6,0.98,"57 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation2-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",380,2008,3675,17.6,0.98,"73 grains/s, want 8-40",scrape_loop; window swept for seam
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-long.wav,unsorted,RETRY,scrape_loop,,long,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",40,2902,3786,14.6,0.99,"42 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",800,2008,3959,14.0,0.99,"64 grains/s, want 8-40",scrape_loop; window swept for seam
unsorted__heavy_body_dragged_slowly_across_rough_stone_low_variation4-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",4260,2008,2053,26.3,1.0,"tilt +26.3 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
unsorted__heavy_body_violently_sliding_and_scraping_along_gr_variation1-long.wav,unsorted,RETRY,scrape_loop,,long,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,12,9916,5578,5.7,0.99,"67 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
unsorted__heavy_body_violently_sliding_and_scraping_along_gr_variation1-loop.wav,unsorted,RETRY,scrape_loop,,loop,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,6760,2008,5177,7.7,0.99,"69 grains/s, want 8-40",scrape_loop; window swept for seam
unsorted__heavy_body_violently_sliding_and_scraping_along_gr_variation2-loop.wav,unsorted,RETRY,scrape_loop,,loop,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,3480,2008,3311,17.7,0.99,"53 grains/s, want 8-40",scrape_loop; window swept for seam
unsorted__heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation4_1-s02.wav,unsorted,RETRY,imp_body,,short,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation4(1).wav,589,227,4522,21.2,1.0,"centroid 4522 Hz, slot wants 800-4200; 6 transients in lomid, slot wants 0-5",satellite @174ms -30dB
unsorted__heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation3-s01.wav,unsorted,RETRY,surf_wood,,short,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation3.wav",22,90,1051,13.0,0.82,"only 86 ms of event, slot wants 120-200",satellite @176ms -22dB
unsorted__heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation3-s02.wav,unsorted,RETRY,surf_wood,,short,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation3.wav",99,83,1064,27.1,0.82,"only 78 ms of event, slot wants 120-200",satellite @176ms -22dB
unsorted__heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation4-s01.wav,unsorted,RETRY,surf_wood,,short,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation4.wav",23,93,1321,17.5,1.0,"only 88 ms of event, slot wants 120-200",satellite @522ms -31dB
unsorted__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-long.wav,unsorted,RETRY,gore_wet,surf_stone,long,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,58,426,4665,-24.1,0.95,"centroid 4665 Hz, slot wants 400-4000",
unsorted__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-s01.wav,unsorted,RETRY,gore_wet,surf_stone,short,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,58,138,4666,-23.9,0.95,"only 132 ms of event, slot wants 200-400; centroid 4666 Hz, slot wants 400-4000",
unsorted__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-long.wav,unsorted,RETRY,gore_wet,,long,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,238,322,7937,-26.3,0.83,"centroid 7937 Hz, slot wants 400-4000",
unsorted__heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-long.wav,unsorted,RETRY,gore_wet,surf_stone,long,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,30,264,6095,-27.5,0.96,"centroid 6095 Hz, slot wants 400-4000",satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
unsorted__naked_body_sliding_along_gorund_close_mic_dry_st_variation3-long.wav,unsorted,RETRY,scrape_loop,,long,"Firefly_audio_naked_body_sliding_along_gorund,_close_mic,_dry_st_variation3.wav",28,908,9774,-40.4,0.9,"envelope std 11.6 dB, too lumpy for a bed; 46 grains/s, want 8-40; tilt -40.4 dB, must lean low by 5+ (not a hiss)","scrape_loop; full take, not seam-matched"
unsorted__naked_body_sliding_along_gorund_close_mic_dry_st_variation3-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_naked_body_sliding_along_gorund,_close_mic,_dry_st_variation3.wav",0,1000,9773,-40.4,0.9,"envelope std 11.9 dB, too lumpy for a bed; 42 grains/s, want 8-40; tilt -40.4 dB, must lean low by 5+ (not a hiss)",scrape_loop; window swept for seam
unsorted__naked_body_sliding_along_ground_dense_continuous_variation3-long.wav,unsorted,RETRY,scrape_loop,,long,"Firefly_audio_naked_body_sliding_along_ground,_dense_continuous__variation3.wav",0,9978,7919,-21.3,0.91,"74 grains/s, want 8-40; tilt -21.3 dB, must lean low by 5+ (not a hiss)","scrape_loop; full take, not seam-matched"
unsorted__naked_body_sliding_and_scraping_along_ground_dens_variation1-long.wav,unsorted,RETRY,scrape_loop,,long,"Firefly_audio_naked_body_sliding_and_scraping_along_ground,_dens_variation1.wav",0,9982,9110,-36.6,0.91,"tilt -36.6 dB, must lean low by 5+ (not a hiss)","scrape_loop; full take, not seam-matched"
unsorted__naked_body_sliding_and_scraping_along_ground_dens_variation1-loop.wav,unsorted,RETRY,scrape_loop,,loop,"Firefly_audio_naked_body_sliding_and_scraping_along_ground,_dens_variation1.wav",3320,2008,8542,-36.3,0.91,"47 grains/s, want 8-40; tilt -36.3 dB, must lean low by 5+ (not a hiss)",scrape_loop; window swept for seam
unsorted__twisting_a_handful_of_raw_chicken_bones_and_gristl_variation4-s01.wav,unsorted,RETRY,crunch_gran,surf_stone,single,Firefly_audio_twisting_a_handful_of_raw_chicken_bones_and_gristl_variation4.wav,48,536,8322,-24.4,0.95,"-20 dB in 18 ms, slot wants 30-400; centroid 8322 Hz, slot wants 500-4500; 12 transients in lomid, slot wants 15-99",satellite @600ms -25dB; satellite @686ms -24dB; satellite @780ms -30dB; satellite @856ms -28dB
unsorted__wet_squelch_of_raw_meat_and_offal_squeezed_hard_t_variation1-long.wav,unsorted,RETRY,gore_wet,,long,"Firefly_audio_wet_squelch_of_raw_meat_and_offal_squeezed_hard,_t_variation1.wav",40,330,7557,-21.2,0.94,"centroid 7557 Hz, slot wants 400-4000",
unsorted__wet_squelch_of_raw_meat_and_offal_squeezed_hard_t_variation1-s01.wav,unsorted,RETRY,gore_wet,surf_stone,short,"Firefly_audio_wet_squelch_of_raw_meat_and_offal_squeezed_hard,_t_variation1.wav",40,160,7909,-21.1,0.94,"centroid 7909 Hz, slot wants 400-4000",
